2026.09.20@14:49:41.940: [Logging System] [Information] Initialized logging system
2026.09.20@14:49:41.940: [MarasmiumKit App] [Information] Initialized logging system
2026.09.20@14:49:41.942: [User-Input Management System] [Information] Initialized keyboard user-input management system
2026.09.20@14:49:41.942: [User-Input Management System] [Information] Initialized mouse user-input management system
2026.09.20@14:49:41.942: [User-Input Management System] [Information] Initialized user-input management system
2026.09.20@14:49:41.942: [MarasmiumKit App] [Information] Initialized user-input management system
2026.09.20@14:49:43.433: [Windowing System] [Information] Set window title "MarasmiumKit App"
2026.09.20@14:49:43.433: [Windowing System] [Information] Set fullscreen monitor index monitor(0, "Display 1", vector(1920.0, 1243.0), vector(0.0, 0.0))
2026.09.20@14:49:43.435: [Windowing System] [Information] Set mouse cursor visible
2026.09.20@14:49:43.435: [Windowing System] [Information] Initialized windowing system
2026.09.20@14:49:43.435: [MarasmiumKit App] [Information] Initialized windowing system
2026.09.20@14:49:43.435: [Network Client] [Information] Set maximum messages to process per update -1
2026.09.20@14:49:43.435: [Network Client] [Information] Initialized network client
2026.09.20@14:49:43.435: [MarasmiumKit App] [Information] Initialized network client
2026.09.20@14:49:43.435: [Asset Management System] [Information] Setting base asset path "./Assets/"
2026.09.20@14:49:43.435: [Asset Management System] [Information] Initialized asset management system
2026.09.20@14:49:43.435: [MarasmiumKit App] [Information] Initialized asset management system
2026.09.20@14:49:43.443: [Audio System] [Information] Setting audio output speaker speaker(0, "Port MacBook Air Microphone")
2026.09.20@14:49:43.444: [Audio System] [Warning] Speaker not available for audio output, setting default
2026.09.20@14:49:43.444: [Audio System] [Information] Set default sound effect volume 100%
2026.09.20@14:49:43.444: [Audio System] [Information] Initialized sound effects audio subsystem
2026.09.20@14:49:43.444: [Audio System] [Information] Set music volume 100%
2026.09.20@14:49:43.444: [Audio System] [Information] Initialized music audio subsystem
2026.09.20@14:49:43.444: [Audio System] [Information] Initialize audio system
2026.09.20@14:49:43.444: [Graphics System] [Information] Target FPS set to 60 -> FPMS=0.06, MSPF=16
2026.09.20@14:49:43.444: [Graphics System] [Information] Maximum UPF set to 8
2026.09.20@14:49:43.444: [Graphics System] [Information] Set clear colour to colour(0, 0, 0, 255)
2026.09.20@14:49:43.445: [Graphics System] [Information] Initialized graphics system
2026.09.20@14:49:43.445: [MarasmiumKit App] [Information] Initialized graphics system
2026.09.20@14:49:43.445: [MarasmiumKit App] [Information] Scene 0 not added
2026.09.20@14:49:43.445: [MarasmiumKit App] [Information] Adding scene 0
2026.09.20@14:49:43.445: [MarasmiumKit App] [Information] Scene 0 requires initialization
2026.09.20@14:49:43.445: [Test Scene 1] [Information] Initializing test scene 1
2026.09.20@14:49:43.445: [MarasmiumKit App] [Information] Entering new scene 1
2026.09.20@14:49:43.445: [Test Scene 1] [Information] Entering test scene 1
2026.09.20@14:49:43.446: [Asset Management System] [Information] Loading animation from "./Assets/Animation/Animation_1.animation"
2026.09.20@14:49:43.448: [Asset Management System] [Information] Adding animation at "./Assets/Animation/Animation_1.animation"
2026.09.20@14:49:43.448: [User-Input Management System] [Information] Adding user-input listener
2026.09.20@14:49:43.448: [Network Client] [Information] Adding network listener
2026.09.20@14:49:43.448: [MarasmiumKit App] [Information] Set initial scene
2026.09.20@14:49:43.448: [MarasmiumKit App] [Information] Initialized MarasmiumKit application framework
2026.09.20@14:49:43.448: [MarasmiumKit App] [Information] Starting main application loop
2026.09.20@14:49:43.502: [Windowing System] [Information] Generated new window frame
2026.09.20@14:49:43.502: [Windowing System] [Information] Set window dimensions vector(1280.0, 720.0)
2026.09.20@14:49:43.556: [Graphics System] [Information] Initializing OpenGL parameters
2026.09.20@14:49:43.557: [Graphics System] [Information] OpenGL version "4.1 Metal - 91.7"
2026.09.20@14:49:43.559: [Graphics System] [Information] Compiled vertex shader 4
2026.09.20@14:49:43.559: [Graphics System] [Information] Compiled fragment shader 5
2026.09.20@14:49:43.560: [Graphics System] [Information] Generated shader program 6
2026.09.20@14:49:43.562: [Graphics System] [Information] Generated VAO 2, VBO 1, and IBO 2
2026.09.20@14:49:43.563: [Graphics System] [Information] Resized OpenGL viewport 2560x1440
2026.09.20@14:49:43.566: [Graphics System] [Information] Generated texture ID 3 for animation animation(4FPS, 12 of vector(4.0, 3.0)frames, vector(32.0, 25.0)pixels, texture ID 0)
2026.09.20@14:49:43.567: [Graphics System] [Information] Resizing OpenGL vertex buffer to 80B
2026.09.20@14:49:43.569: [Graphics System] [Information] Resizing OpenGL index buffer to 24B
2026.09.20@14:49:46.898: [Asset Management System] [Information] Reading typeface from "./Assets/Typeface/Fira_Sans.typeface"
2026.09.20@14:49:46.904: [Asset Management System] [Information] Adding typeface at "./Assets/Typeface/Fira_Sans.typeface"
2026.09.20@14:49:46.927: [Test Scene 1] [Information] Loaded typeface: typeface(95 glyphs, 5453404B at "animation:Typeface/Fira_Sans.typeface")
2026.09.20@14:49:46.931: [Test Scene 1] [Information] Glyph  : glyph(frame 47, advance 34px, offset 0px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph !: glyph(frame 75, advance 31px, offset -2px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph ": glyph(frame 91, advance 52px, offset 54px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph #: glyph(frame 77, advance 67px, offset 0px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph $: glyph(frame 78, advance 68px, offset -20px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph %: glyph(frame 79, advance 106px, offset -4px)
2026.09.20@14:49:46.932: [Test Scene 1] [Information] Glyph &: glyph(frame 81, advance 94px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph ': glyph(frame 43, advance 29px, offset 54px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph (: glyph(frame 83, advance 42px, offset -19px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph ): glyph(frame 84, advance 42px, offset -19px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph *: glyph(frame 82, advance 57px, offset 46px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph +: glyph(frame 86, advance 64px, offset 18px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph ,: glyph(frame 44, advance 31px, offset -22px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph -: glyph(frame 37, advance 52px, offset 35px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph .: glyph(frame 45, advance 31px, offset -2px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph /: glyph(frame 46, advance 67px, offset -14px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 0: glyph(frame 36, advance 72px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 1: glyph(frame 27, advance 56px, offset 0px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 2: glyph(frame 28, advance 64px, offset 0px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 3: glyph(frame 29, advance 64px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 4: glyph(frame 30, advance 69px, offset 0px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 5: glyph(frame 31, advance 65px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 6: glyph(frame 32, advance 69px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 7: glyph(frame 33, advance 57px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 8: glyph(frame 34, advance 71px, offset -1px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph 9: glyph(frame 35, advance 68px, offset -3px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph :: glyph(frame 90, advance 31px, offset -2px)
2026.09.20@14:49:46.933: [Test Scene 1] [Information] Glyph ;: glyph(frame 42, advance 31px, offset -22px)
